request_id,request_type,priority,created_hour,created_day_of_week,created_at,completed_at,total_duration_hours,sla_hours,stage_created_duration,stage_assigned_duration,stage_verified_duration,stage_approved_duration,stage_processed_duration,handler_workload,final_stage,is_completed,is_delayed
REQ-SYN-0014,transcript,1,17,3,2025-10-23 17:38:00,2025-10-26 03:27:48,57.83,120,1.82,6.02,11.52,16.48,21.99,5,completed,1,0
REQ-SYN-0015,exam,2,13,3,2026-01-22 13:41:00,2026-01-25 08:42:48,86.88,96,2.95,3.85,13.35,10.53,56.19967966874817,7,completed,1,0
REQ-SYN-0016,certificate,2,12,0,2025-11-10 12:47:00,2025-11-11 13:42:12,24.92,72,0.58,3.13,8.28,9.13,3.8,4,completed,1,0
REQ-SYN-0017,hostel,2,13,1,2025-12-16 13:53:00,2025-12-17 14:26:00,24.55,48,2.57,5.12,2.08,2.99,11.79,3,completed,1,0
REQ-SYN-0018,transcript,2,11,0,2025-11-17 11:04:00,2025-11-20 12:22:36,89.03,120,2.82,6.06,16.89,20.45,42.81086967634413,5,completed,1,0
REQ-SYN-0019,transcript,1,5,1,2025-11-11 05:55:00,2025-11-12 06:58:00,25.05,120,1.98,3.69,4.03,7.46,7.89,2,completed,1,0
REQ-SYN-0020,transcript,1,8,3,2025-12-04 08:34:00,2025-12-05 16:46:36,32.21,120,0.1,4.51,9.74,4.95,12.91,2,completed,1,0
REQ-SYN-0021,library,1,0,1,2025-10-14 00:26:00,2025-10-15 10:20:00,33.9,48,2.79,8.9,0.98,11.28,9.95,4,completed,1,0
REQ-SYN-0022,transcript,2,8,4,2025-09-12 08:25:00,2025-09-13 05:24:24,20.99,120,2.86,1.73,3.61,5.07,7.72,4,completed,1,0
REQ-SYN-0023,certificate,2,16,1,2025-12-09 16:37:00,2025-12-11 15:18:24,61.57,72,4.34,10.86,8.23,0.1,38.03817801783059,9,completed,1,0
REQ-SYN-0024,transcript,2,21,2,2025-10-15 21:13:00,2025-10-17 13:56:48,40.73,120,2.84,3.47,7.39,11.36,15.67,5,completed,1,0
REQ-SYN-0025,it_support,1,5,6,2025-11-09 05:11:00,2025-11-10 17:36:12,32.25,24,0.59,4.31,10.42,7.9,13.2,3,completed,1,1
REQ-SYN-0026,transcript,2,9,0,2025-11-17 09:03:00,2025-11-20 05:52:12,84.63,120,2.01,7.04,18.29,11.57,45.724067257149294,4,completed,1,0
REQ-SYN-0027,transcript,2,10,1,2026-01-27 10:44:00,2026-01-29 17:14:36,60.52,120,2.68,1.1,4.56,23.53,28.6470392400945,10,completed,1,0
REQ-SYN-0028,certificate,1,9,3,2025-12-25 09:07:00,2025-12-26 14:44:48,29.63,72,2.68,0.1,0.35,9.28,17.22,5,completed,1,0
REQ-SYN-0029,hostel,1,16,0,2025-11-10 16:43:00,2025-11-12 15:13:36,63.99,48,1.8,9.63,8.67,20.74,23.151466446995677,5,completed,1,1
REQ-SYN-0030,certificate,1,16,2,2025-09-03 16:50:00,2025-09-05 04:07:24,35.29,72,2.22,5.49,6.91,11.78,8.89,4,completed,1,0
REQ-SYN-0031,library,1,16,2,2025-08-27 16:30:00,2025-08-29 02:16:48,33.78,48,1.91,2.6,10.5,10.75,8.02,3,completed,1,0
REQ-SYN-0032,hostel,1,16,3,2025-09-11 16:43:00,2025-09-14 12:14:12,67.52,48,1.16,10.87,9.59,16.96,28.94,5,completed,1,1
REQ-SYN-0033,hostel,2,13,0,2025-12-29 13:51:00,2026-01-01 13:34:12,71.72,48,1.29,6.37,8.06,24.76,31.24,8,completed,1,1
REQ-SYN-0034,exam,2,9,2,2025-10-08 09:32:00,2025-10-11 03:30:12,82.84,96,1.46,6.04,19.21,13.4,42.731351627226196,5,completed,1,0
REQ-SYN-0035,certificate,2,8,3,2025-11-06 08:59:00,2025-11-08 00:43:24,39.74,72,0.1,3.1,8.09,10.56,17.89,3,completed,1,0
REQ-SYN-0036,certificate,2,13,0,2025-08-25 13:21:00,2025-08-28 08:46:48,74.85,72,3.82,6.94,6.66,18.31,39.12156950946216,6,completed,1,1
REQ-SYN-0037,hostel,1,9,3,2025-11-27 09:00:00,,81.46,48,2.97,6.7,20.52,23.49,27.78,8,processed,0,1
REQ-SYN-0038,hostel,2,13,2,2026-01-21 13:03:00,,43.81,48,1.89,2.41,5.84,8.32,25.35,1,processed,0,0
REQ-SYN-0039,certificate,2,2,1,2026-01-13 02:30:00,2026-01-14 16:33:36,38.06,72,2.47,3.24,7.1,9.72,15.53,1,completed,1,0
REQ-SYN-0040,certificate,2,15,6,2025-12-07 15:18:00,2025-12-10 14:53:24,78.53,72,0.6,8.54,20.51,4.47,44.405554910912656,5,completed,1,1
REQ-SYN-0041,transcript,1,3,4,2025-11-07 03:44:00,2025-11-09 14:12:12,70.66,120,2.79,7.22,6.3,19.99,34.35854462471948,7,completed,1,0
REQ-SYN-0042,library,3,9,2,2025-11-26 09:41:00,2025-11-28 19:11:00,57.5,48,1.61,5.11,14.49,14.09,22.2,7,completed,1,1
REQ-SYN-0043,library,1,12,1,2025-12-30 12:57:00,2026-01-02 17:30:00,76.55,48,2.36,5.0,12.52,11.94,44.73,8,completed,1,1
REQ-SYN-0044,certificate,2,12,3,2026-01-08 12:53:00,2026-01-11 14:33:48,73.68,72,1.58,11.65,19.38,24.74,16.33,3,completed,1,1
REQ-SYN-0045,certificate,3,8,1,2025-09-02 08:31:00,2025-09-03 03:46:00,19.25,72,2.54,5.23,3.97,1.32,6.19,1,completed,1,0
REQ-SYN-0046,transcript,2,20,3,2025-10-16 20:42:00,2025-10-19 10:39:36,71.15,120,0.77,6.83,15.87,12.6,35.08257681894477,4,completed,1,0
REQ-SYN-0047,transcript,1,10,2,2025-09-03 10:41:00,2025-09-05 06:07:24,62.72,120,2.32,5.31,11.18,15.89,28.01918402274243,8,completed,1,0
REQ-SYN-0048,exam,1,20,4,2025-08-15 20:59:00,2025-08-18 02:45:12,64.84,96,1.64,11.21,12.05,16.1,23.839338041060245,8,completed,1,0
REQ-SYN-0049,certificate,2,17,3,2025-12-11 17:36:00,2025-12-12 21:21:00,27.75,72,1.36,1.37,5.07,3.97,15.98,2,completed,1,0
REQ-SYN-0050,transcript,3,15,1,2025-10-28 15:31:00,2025-10-29 19:26:12,27.92,120,1.79,5.9,3.65,8.38,8.2,6,completed,1,0
REQ-SYN-0051,transcript,2,10,0,2025-12-15 10:44:00,2025-12-17 20:45:48,76.46,120,2.89,6.88,13.4,19.29,34.00149217148162,6,completed,1,0
REQ-SYN-0052,transcript,1,6,3,2025-10-30 06:07:00,2025-10-31 10:40:00,28.55,120,3.1,4.94,3.07,7.41,10.03,1,completed,1,0
REQ-SYN-0053,transcript,1,16,0,2025-12-29 16:53:00,2026-01-01 01:54:48,75.8,120,1.43,11.57,18.87,19.75,24.183643434221764,6,completed,1,0
REQ-SYN-0054,transcript,1,17,3,2025-11-27 17:47:00,2025-11-30 05:15:12,75.03,120,1.72,11.81,7.12,13.12,41.26284907841752,5,completed,1,0
REQ-SYN-0055,transcript,1,8,1,2026-01-27 08:11:00,2026-01-28 18:36:48,34.43,120,3.1,5.04,7.08,8.64,10.57,4,completed,1,0
REQ-SYN-0056,exam,1,21,4,2025-12-26 21:08:00,2025-12-28 23:51:48,65.49,96,0.1,11.04,14.8,7.85,31.703000806376807,8,completed,1,0
REQ-SYN-0057,library,3,11,0,2026-02-02 11:41:00,2026-02-03 20:24:12,32.72,48,2.13,0.1,1.93,6.91,21.65,8,completed,1,0
REQ-SYN-0058,certificate,1,9,1,2026-01-06 09:34:00,2026-01-07 23:31:00,37.95,72,1.44,2.81,4.33,12.15,17.22,5,completed,1,0
REQ-SYN-0059,exam,2,11,3,2025-09-04 11:13:00,2025-09-05 19:23:48,32.18,96,2.4,2.24,2.84,10.52,14.18,8,completed,1,0
REQ-SYN-0060,hostel,1,13,1,2025-09-09 13:27:00,2025-09-10 14:29:24,25.04,48,1.49,0.88,6.8,7.13,8.74,2,completed,1,0
REQ-SYN-0061,hostel,1,3,4,2025-09-05 03:04:00,2025-09-05 23:40:36,20.61,48,1.28,4.38,4.5,4.22,6.23,2,completed,1,0
REQ-SYN-0062,it_support,1,11,0,2025-08-25 11:52:00,,71.47,24,2.63,10.47,19.77,7.63,30.97,4,approved,0,1
REQ-SYN-0063,hostel,2,9,2,2026-02-04 09:49:00,2026-02-06 16:50:48,55.03,48,0.81,7.76,8.94,13.61,23.91,6,completed,1,1
REQ-SYN-0064,it_support,2,22,0,2025-11-03 22:49:00,2025-11-06 20:26:12,69.62,24,1.72,5.63,16.44,16.94,28.89,6,completed,1,1
REQ-SYN-0065,certificate,2,12,0,2025-12-29 12:29:00,2025-12-31 08:35:36,44.11,72,2.81,2.42,5.56,12.63,20.69,5,completed,1,0
REQ-SYN-0066,certificate,2,9,4,2025-09-12 09:32:00,2025-09-15 06:48:12,85.11,72,1.42,11.61,8.47,19.42,44.1942992189999,7,completed,1,1
REQ-SYN-0067,certificate,1,17,3,2025-09-25 17:24:00,2025-09-27 08:33:00,39.15,72,2.31,4.21,2.95,11.24,18.44,2,completed,1,0
REQ-SYN-0068,hostel,1,17,3,2025-10-16 17:16:00,2025-10-18 13:02:12,43.77,48,2.29,7.29,1.06,8.29,24.84,5,completed,1,0
REQ-SYN-0069,certificate,2,11,0,2026-01-26 11:25:00,2026-01-29 06:39:24,77.42,72,2.88,3.74,10.37,24.4,36.03059882130403,7,completed,1,1
REQ-SYN-0070,transcript,3,22,2,2026-02-04 22:29:00,2026-02-06 16:38:00,42.15,120,0.1,4.36,10.11,10.5,17.08,5,completed,1,0
REQ-SYN-0071,hostel,2,22,3,2025-11-27 22:03:00,2025-11-28 21:24:00,23.35,48,1.1,2.85,1.95,9.79,7.66,3,completed,1,0
REQ-SYN-0072,hostel,2,15,0,2025-12-08 15:27:00,2025-12-10 02:46:12,35.32,48,1.53,7.21,5.19,8.81,12.58,7,completed,1,0
REQ-SYN-0073,certificate,1,10,0,2026-01-26 10:57:00,2026-01-27 22:36:36,35.66,72,2.16,4.48,11.74,4.58,12.7,5,completed,1,0
REQ-SYN-0074,certificate,1,21,0,2025-09-01 21:22:00,2025-09-04 18:39:24,81.25,72,2.53,14.1,16.25,21.09,27.27903659987231,6,completed,1,1
REQ-SYN-0075,library,1,12,4,2026-02-13 12:24:00,2026-02-16 10:28:48,70.08,48,4.7,6.41,19.4,11.5,28.07,4,completed,1,1
REQ-SYN-0076,hostel,2,13,3,2025-10-23 13:52:00,2025-10-25 10:49:00,57.28,48,3.37,12.67,3.06,10.91,27.270982382446476,3,completed,1,1
REQ-SYN-0077,library,2,19,1,2025-10-07 19:54:00,2025-10-09 18:30:36,46.61,48,1.85,7.65,3.81,12.94,20.36,4,completed,1,0
REQ-SYN-0078,hostel,2,10,1,2026-02-03 10:04:00,2026-02-04 05:19:36,19.26,48,0.73,1.06,7.84,4.13,5.5,8,completed,1,0
REQ-SYN-0079,transcript,2,9,0,2026-01-19 09:49:00,2026-01-21 07:11:12,45.37,120,1.81,1.19,8.09,13.66,20.62,4,completed,1,0
REQ-SYN-0080,transcript,3,11,4,2025-12-12 11:36:00,2025-12-15 06:29:24,82.86,120,0.95,13.94,11.42,20.25,36.30136381038324,7,completed,1,0
REQ-SYN-0081,certificate,2,9,5,2025-11-29 09:53:00,2025-11-30 07:35:36,21.71,72,1.84,3.42,6.22,5.26,4.97,1,completed,1,0
REQ-SYN-0082,transcript,2,14,4,2026-02-13 14:49:00,2026-02-15 06:47:12,39.97,120,3.18,6.77,3.54,11.17,15.31,5,completed,1,0
REQ-SYN-0083,hostel,1,12,5,2025-09-20 12:33:00,2025-09-21 23:03:36,34.51,48,1.11,0.56,6.37,14.16,12.31,3,completed,1,0
REQ-SYN-0084,certificate,1,15,2,2025-12-03 15:13:00,2025-12-04 16:30:24,25.29,72,2.49,3.06,1.69,9.15,8.9,9,completed,1,0
REQ-SYN-0085,certificate,2,11,0,2025-12-15 11:42:00,,38.99,72,0.86,4.74,11.33,6.98,15.08,3,processed,0,0
REQ-SYN-0086,hostel,1,22,2,2026-01-07 22:35:00,2026-01-10 10:03:48,59.48,48,1.18,2.32,4.02,22.26,29.7,9,completed,1,1
REQ-SYN-0087,certificate,3,17,2,2025-09-10 17:40:00,2025-09-13 14:42:24,87.13,72,2.08,3.27,12.96,19.83,48.98696665425568,8,completed,1,1
REQ-SYN-0088,it_support,1,15,1,2026-01-06 15:57:00,2026-01-08 01:44:24,29.94,24,3.43,7.58,8.19,3.13,11.46,6,completed,1,1
REQ-SYN-0089,it_support,1,15,1,2025-11-04 15:01:00,2025-11-05 17:06:24,21.38,24,2.52,4.03,1.11,8.89,9.54,8,completed,1,0
REQ-SYN-0090,exam,2,14,1,2025-08-19 14:14:00,2025-08-21 14:01:24,57.62,96,2.06,9.33,13.07,6.69,26.47165072390216,5,completed,1,0
REQ-SYN-0091,certificate,2,15,3,2025-09-18 15:53:00,2025-09-20 02:53:00,35.0,72,0.74,7.47,5.7,8.06,13.03,7,completed,1,0
REQ-SYN-0092,exam,2,15,6,2025-12-14 15:29:00,2025-12-15 17:20:36,25.86,96,1.89,5.69,1.95,8.08,8.25,7,completed,1,0
REQ-SYN-0093,library,2,11,0,2025-12-22 11:24:00,2025-12-23 23:57:00,36.55,48,3.94,1.94,8.1,9.22,13.35,10,completed,1,0
REQ-SYN-0094,certificate,2,13,3,2026-01-22 13:30:00,2026-01-24 00:55:12,44.69,72,2.94,7.49,9.64,7.75,16.867109058858638,4,completed,1,0
REQ-SYN-0095,certificate,2,17,3,2025-12-25 17:59:00,2025-12-26 09:38:36,15.66,72,1.54,2.38,4.32,7.32,0.1,2,completed,1,0
REQ-SYN-0096,transcript,1,12,0,2026-02-02 12:13:00,2026-02-05 06:41:12,85.29,120,2.09,9.9,9.62,17.74,45.938089252432135,8,completed,1,0
REQ-SYN-0097,hostel,1,9,1,2026-01-13 09:59:00,2026-01-14 17:02:36,31.06,48,0.1,4.96,0.1,14.99,10.91,2,completed,1,0
REQ-SYN-0098,certificate,2,3,4,2026-01-09 03:02:00,2026-01-11 02:57:48,63.13,72,2.82,7.86,18.06,3.77,30.617050426308403,8,completed,1,0
REQ-SYN-0099,transcript,3,10,2,2025-12-03 10:36:00,2025-12-05 01:16:12,38.67,120,1.24,7.35,7.27,7.66,15.15,4,completed,1,0
REQ-SYN-0100,transcript,2,18,4,2026-01-09 18:20:00,2026-01-12 06:05:00,78.93,120,2.31,0.65,11.27,28.02,36.67868517787387,6,completed,1,0
REQ-SYN-0101,transcript,1,17,4,2025-09-12 17:57:00,2025-09-15 03:16:12,73.13,120,2.74,9.99,14.61,23.76,22.034844848171094,6,completed,1,0
REQ-SYN-0102,certificate,2,11,2,2025-12-17 11:37:00,2025-12-18 22:17:12,46.69,72,4.28,0.1,5.93,13.8,22.58241065005039,10,completed,1,0
REQ-SYN-0103,it_support,2,9,1,2026-01-13 09:17:00,2026-01-14 09:21:48,19.84,24,1.15,4.88,2.1,3.36,12.59,1,completed,1,0
REQ-SYN-0104,transcript,2,6,1,2025-10-21 06:45:00,2025-10-22 21:31:48,38.78,120,3.52,6.45,6.51,13.63,8.67,3,completed,1,0
REQ-SYN-0105,certificate,1,23,0,2026-02-02 23:49:00,2026-02-03 20:03:24,20.24,72,1.61,5.44,3.84,2.94,6.41,1,completed,1,0
REQ-SYN-0106,exam,2,15,3,2026-01-08 15:19:00,,69.32,96,1.42,12.26,10.46,18.77,26.409523655337352,3,verified,0,0
REQ-SYN-0107,transcript,1,21,1,2025-11-11 21:12:00,2025-11-13 08:04:12,34.87,120,2.05,2.84,5.43,11.05,13.5,2,completed,1,0
REQ-SYN-0108,certificate,2,12,5,2025-09-20 12:44:00,2025-09-21 06:44:36,18.01,72,0.36,3.69,0.83,5.76,7.37,1,completed,1,0
REQ-SYN-0109,certificate,1,11,3,2025-09-18 11:01:00,2025-09-19 15:04:00,28.05,72,2.6,4.11,8.81,8.78,3.75,4,completed,1,0
REQ-SYN-0110,hostel,1,9,2,2025-09-17 09:31:00,2025-09-18 02:05:12,16.57,48,3.64,6.05,0.19,3.18,3.51,5,completed,1,0
REQ-SYN-0111,certificate,1,9,4,2025-12-19 09:35:00,2025-12-20 23:51:48,38.28,72,4.56,3.95,7.1,12.0,10.67,2,completed,1,0
REQ-SYN-0112,hostel,1,12,2,2025-12-24 12:21:00,2025-12-25 13:51:36,25.51,48,2.25,4.05,7.16,4.81,7.24,4,completed,1,0
REQ-SYN-0113,transcript,2,14,1,2025-12-16 14:44:00,2025-12-17 06:32:00,15.8,120,2.0,3.85,0.84,7.58,1.53,4,completed,1,0
REQ-SYN-0114,library,1,9,2,2025-12-03 09:29:00,2025-12-05 01:09:12,49.01,48,3.08,3.38,11.29,14.15,17.113280085002177,4,completed,1,1
REQ-SYN-0115,transcript,2,23,3,2026-01-22 23:14:00,2026-01-23 23:38:36,24.41,120,0.34,4.93,3.99,3.44,11.71,3,completed,1,0
REQ-SYN-0116,certificate,1,8,3,2026-01-01 08:53:00,2026-01-03 23:06:48,81.68,72,2.02,11.53,15.43,8.07,44.62878378065719,7,completed,1,1
REQ-SYN-0117,hostel,2,22,3,2025-10-09 22:25:00,2025-10-11 20:01:00,45.6,48,3.05,3.41,9.43,12.03,17.68,4,completed,1,0
REQ-SYN-0118,certificate,2,20,0,2026-01-05 20:11:00,2026-01-07 17:11:36,45.01,72,2.98,3.9,11.92,14.35,11.86,5,completed,1,0
REQ-SYN-0119,hostel,3,9,3,2025-10-23 09:39:00,2025-10-24 22:48:00,37.15,48,0.79,7.53,4.44,12.22,12.17,5,completed,1,0
REQ-SYN-0120,exam,2,16,4,2025-09-05 16:40:00,2025-09-08 10:55:00,72.43,96,3.14,10.16,4.82,14.41,39.90187850325398,4,completed,1,0
REQ-SYN-0121,hostel,1,8,1,2025-10-28 08:07:00,2025-10-30 07:08:12,47.02,48,1.6,4.44,7.03,10.79,23.16,4,completed,1,0
REQ-SYN-0122,transcript,1,15,2,2025-09-03 15:41:00,2025-09-05 02:46:24,35.09,120,2.75,3.17,9.21,4.32,15.64,5,completed,1,0
REQ-SYN-0123,it_support,2,17,4,2025-12-19 17:58:00,,59.89,24,1.68,7.4,15.54,12.3,22.97,6,approved,0,1
REQ-SYN-0124,transcript,1,22,0,2025-09-22 22:09:00,2025-09-26 07:49:48,91.97,120,4.01,7.1,24.97,6.27,49.615063173463646,7,completed,1,0
REQ-SYN-0125,it_support,1,10,4,2025-08-22 10:39:00,2025-08-24 12:02:24,43.38,24,3.1,5.94,8.39,18.55,13.41,9,completed,1,1
REQ-SYN-0126,transcript,1,9,0,2025-09-01 09:22:00,2025-09-02 20:29:48,35.13,120,2.16,2.42,10.88,10.35,9.32,3,completed,1,0
REQ-SYN-0127,certificate,3,1,5,2025-12-20 01:55:00,2025-12-21 07:28:00,29.55,72,1.79,3.37,4.51,8.74,11.14,2,completed,1,0
REQ-SYN-0128,transcript,3,11,0,2025-08-25 11:18:00,2025-08-27 09:21:00,61.75,120,2.03,10.33,16.2,11.15,22.036578933297513,6,completed,1,0
REQ-SYN-0129,transcript,1,9,2,2026-01-21 09:11:00,2026-01-23 11:32:00,63.57,120,1.76,6.3,8.17,18.33,29.011095247220087,10,completed,1,0
REQ-SYN-0130,transcript,1,10,0,2025-11-03 10:06:00,2025-11-05 08:52:48,46.78,120,2.01,3.67,8.87,13.5,18.73,5,completed,1,0
REQ-SYN-0131,transcript,2,17,4,2025-09-12 17:07:00,2025-09-14 11:26:48,42.33,120,1.59,4.8,6.1,9.64,20.2,1,completed,1,0
REQ-SYN-0132,library,2,5,0,2026-01-05 05:03:00,2026-01-06 05:28:12,24.42,48,1.55,0.8,6.0,6.19,9.88,3,completed,1,0
REQ-SYN-0133,certificate,2,7,0,2025-11-24 07:25:00,2025-11-26 18:40:00,65.82,72,1.45,8.81,12.02,9.41,34.131946046872365,7,completed,1,0
REQ-SYN-0134,transcript,2,16,0,2025-09-29 16:48:00,2025-10-02 11:51:36,85.36,120,1.26,9.95,9.01,18.29,46.84664806415256,7,completed,1,0
REQ-SYN-0135,it_support,1,16,2,2025-10-22 16:36:00,2025-10-25 14:14:24,69.64,24,1.19,8.67,12.54,14.61,32.63,6,completed,1,1
REQ-SYN-0136,library,1,11,4,2025-12-19 11:41:00,2025-12-20 16:46:24,29.09,48,3.07,3.81,4.75,6.36,11.1,8,completed,1,0
REQ-SYN-0137,certificate,1,15,2,2025-12-31 15:01:00,,34.17,72,0.82,2.86,3.3,8.89,18.3,6,verified,0,0
REQ-SYN-0138,hostel,2,16,1,2026-01-27 16:58:00,2026-01-30 00:36:24,55.64,48,0.67,13.72,11.91,16.35,12.99,7,completed,1,1
REQ-SYN-0139,hostel,2,14,0,2026-01-19 14:19:00,2026-01-20 06:10:00,34.94,48,0.65,4.22,4.41,6.47,19.1896263798429,5,completed,1,0
REQ-SYN-0140,certificate,1,16,1,2025-10-07 16:05:00,2025-10-08 17:41:00,25.6,72,0.96,3.19,4.38,5.06,12.01,4,completed,1,0
REQ-SYN-0141,hostel,1,15,0,2025-12-01 15:32:00,2025-12-02 21:18:48,29.78,48,2.84,3.72,5.36,8.84,9.02,8,completed,1,0
REQ-SYN-0142,hostel,1,9,1,2026-02-03 09:28:00,2026-02-06 06:33:24,69.09,48,2.25,9.11,10.18,10.28,37.27,7,completed,1,1
REQ-SYN-0143,transcript,1,10,3,2025-08-21 10:56:00,2025-08-23 00:37:24,37.69,120,0.91,7.12,4.62,10.55,14.49,8,completed,1,0
REQ-SYN-0144,certificate,3,18,4,2026-01-09 18:42:00,2026-01-12 18:58:12,72.27,72,1.58,7.74,15.37,24.57,23.01,5,completed,1,1
REQ-SYN-0145,hostel,2,20,1,2026-01-20 20:44:00,2026-01-23 16:21:48,67.63,48,3.38,13.06,15.42,13.51,22.26,5,completed,1,1
REQ-SYN-0146,transcript,1,11,2,2025-11-12 11:41:00,2025-11-13 22:10:24,34.49,120,2.0,4.79,5.83,7.92,13.95,7,completed,1,0
REQ-SYN-0147,hostel,1,9,4,2025-08-22 09:05:00,2025-08-23 16:06:48,31.03,48,1.0,2.14,5.95,8.44,13.5,5,completed,1,0
REQ-SYN-0148,library,1,8,2,2025-10-08 08:51:00,2025-10-11 12:18:36,75.46,48,3.6,9.13,14.99,20.73,27.01,7,completed,1,1
REQ-SYN-0149,certificate,3,16,0,2025-12-29 16:51:00,2025-12-30 22:29:24,29.64,72,2.34,4.18,8.38,8.02,6.72,4,completed,1,0
REQ-SYN-0150,certificate,2,6,4,2025-09-19 06:46:00,2025-09-20 00:27:24,17.69,72,0.83,0.79,0.37,7.24,8.46,5,completed,1,0
REQ-SYN-0151,transcript,1,10,1,2025-12-23 10:43:00,2025-12-25 13:48:24,64.65,120,2.1,6.26,15.94,24.03,16.319165912114478,4,completed,1,0
REQ-SYN-0152,hostel,2,4,4,2026-02-06 04:35:00,2026-02-08 13:12:48,56.63,48,1.03,4.67,6.78,13.3,30.85,9,completed,1,1
REQ-SYN-0153,transcript,2,17,3,2025-09-25 17:36:00,2025-09-27 03:40:12,34.07,120,1.33,2.93,8.21,11.36,10.24,1,completed,1,0
REQ-SYN-0154,library,1,4,1,2025-10-21 04:00:00,2025-10-23 01:03:36,45.06,48,1.0,5.63,4.2,10.71,23.52,3,completed,1,0
REQ-SYN-0155,library,2,15,4,2026-02-13 15:42:00,2026-02-16 11:22:48,67.68,48,1.47,13.7,13.94,13.92,24.65,7,completed,1,1
REQ-SYN-0156,hostel,2,14,0,2026-01-05 14:55:00,2026-01-07 21:39:24,54.74,48,2.0,8.84,13.52,3.71,26.67,3,completed,1,1
REQ-SYN-0157,hostel,3,10,0,2025-12-15 10:10:00,2025-12-16 10:21:24,24.19,48,1.83,7.99,9.29,4.98,0.1,8,completed,1,0
REQ-SYN-0158,certificate,2,22,4,2025-12-05 22:37:00,2025-12-08 03:38:48,69.05,72,0.85,6.65,21.28,4.14,36.13470075427543,6,completed,1,0
REQ-SYN-0159,transcript,2,13,4,2025-08-22 13:16:00,2025-08-25 03:41:48,73.15,120,0.95,12.34,11.24,15.77,32.85038213188497,4,completed,1,0
REQ-SYN-0160,transcript,1,17,3,2025-12-18 17:14:00,2025-12-19 17:12:12,23.97,120,2.03,4.56,8.52,5.08,3.78,2,completed,1,0
REQ-SYN-0161,hostel,2,11,4,2025-11-07 11:47:00,2025-11-08 11:27:12,23.67,48,2.47,0.66,8.17,5.47,6.9,8,completed,1,0
REQ-SYN-0162,hostel,1,0,4,2025-10-24 00:53:00,2025-10-26 07:56:00,55.05,48,0.59,5.79,10.26,10.43,27.98,4,completed,1,1
REQ-SYN-0163,hostel,3,10,6,2026-01-11 10:53:00,2026-01-12 09:09:48,22.28,48,2.28,5.61,5.64,8.5,0.25,4,completed,1,0
REQ-SYN-0164,library,3,15,2,2025-12-10 15:59:00,2025-12-11 14:27:12,22.47,48,2.84,5.21,6.11,0.15,8.16,8,completed,1,0
REQ-SYN-0165,it_support,2,15,3,2025-10-09 15:08:00,2025-10-12 16:42:12,73.57,24,1.75,7.8,24.23,16.17,23.62,5,completed,1,1
REQ-SYN-0166,certificate,2,13,0,2025-08-18 13:32:00,2025-08-22 01:34:24,84.04,72,2.59,5.0,12.15,10.94,53.36,6,completed,1,1
REQ-SYN-0167,transcript,3,8,0,2025-11-24 08:22:00,2025-11-26 05:36:24,45.24,120,3.41,4.05,6.44,19.93,11.41,5,completed,1,0
